Date,Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
2/1/2012,2:00,-6.8,-9.3,82,19,4.8,100.61,Freezing Drizzle
2/1/2012,3:00,-6.5,-9.0,82,15,4.8,100.56,Freezing Rain
2/1/2012,4:00,-5.8,-8.2,83,17,8.0,100.48,Freezing Rain
3/2/2012,11:00,-5.5,-7.5,86,15,2.8,101.21,Snow
3/2/2012,13:00,-4.6,-6.5,87,13,4.8,101.09,Snow
3/3/2012,1:00,1.2,-2.8,75,19,25.0,99.96,Snow
3/3/2012,2:00,-0.6,-2.9,84,19,2.4,99.75,Snow
3/3/2012,3:00,-0.3,-2.4,86,22,2.8,99.55,Snow
3/3/2012,21:00,2.9,-3.6,62,46,25.0,98.98,Snow
3/3/2012,22:00,2.8,-3.4,64,57,25.0,99.07,Snow
3/3/2012,23:00,2.3,-3.1,67,33,25.0,99.18,Snow
3/8/2012,23:00,0.8,-1.4,85,35,2.4,100.25,Snow
3/9/2012,0:00,-0.1,-2.0,87,28,2.8,100.33,Snow
3/28/2012,0:00,1.0,-10.8,41,6,16.1,101.58,Snow
3/28/2012,1:00,-1.1,-4.5,78,11,16.1,101.39,Snow
3/28/2012,2:00,-1.0,-4.8,75,13,9.7,101.28,Snow
3/28/2012,3:00,-1.6,-4.1,83,20,25.0,101.08,Snow
3/28/2012,4:00,-1.5,-3.8,84,20,25.0,100.88,Snow
3/28/2012,6:00,-0.3,-3.5,79,20,24.1,100.51,Snow
3/28/2012,7:00,0.5,-2.7,79,22,24.1,100.4,Snow
3/29/2012,5:00,0.6,-2.1,82,9,25.0,100.35,Snow
3/29/2012,6:00,0.7,-1.9,83,6,24.1,100.44,Snow
3/29/2012,7:00,0.8,-1.6,84,7,24.1,100.52,Snow
3/29/2012,8:00,1.5,-1.1,83,6,16.1,100.59,Snow
3/29/2012,9:00,2.5,-1.2,77,9,24.1,100.64,Snow
4/27/2012,7:00,1.8,-2.9,71,32,12.9,100.25,Snow
4/27/2012,8:00,2.3,-2.7,69,26,24.1,100.33,Snow
4/27/2012,9:00,2.7,-3.2,65,32,24.1,100.4,Snow
4/27/2012,10:00,3.7,-3.1,61,30,24.1,100.48,Snow
4/27/2012,12:00,2.7,-4.1,61,35,24.1,100.65,Snow
8/5/2012,18:00,25.0,22.0,83,22,19.3,100.28,"Thunderstorms,Rain Showers"
8/11/2012,17:00,20.2,19.5,96,32,12.9,100.58,"Thunderstorms,Rain Showers"
9/1/2012,5:00,16.0,12.9,82,13,25.0,101.31,Mainly Clear
9/1/2012,6:00,16.2,12.5,79,13,48.3,101.41,Mainly Clear
9/1/2012,7:00,17.8,10.6,63,24,48.3,101.48,Mainly Clear
9/1/2012,8:00,18.6,9.5,55,20,48.3,101.54,Mainly Clear
9/1/2012,11:00,22.7,6.2,34,15,48.3,101.6,Mainly Clear
9/1/2012,21:00,18.5,7.6,49,7,25.0,101.47,Clear
9/1/2012,22:00,17.5,9.2,58,6,25.0,101.46,Clear
9/1/2012,23:00,17.0,9.1,60,7,25.0,101.45,Mainly Clear
9/2/2012,0:00,16.1,9.0,63,4,25.0,101.47,Clear
9/2/2012,1:00,14.0,9.3,73,4,25.0,101.47,Clear
9/2/2012,2:00,13.5,9.5,77,4,25.0,101.47,Clear
9/2/2012,3:00,13.0,9.5,79,0,25.0,101.43,Mainly Clear
9/2/2012,4:00,13.3,9.7,79,0,25.0,101.41,Mainly Clear
9/2/2012,5:00,14.2,10.2,77,6,25.0,101.43,Mainly Clear
9/2/2012,6:00,13.0,10.8,86,7,24.1,101.48,Mainly Clear
9/2/2012,7:00,15.5,11.6,78,4,48.3,101.49,Mainly Clear
9/2/2012,12:00,24.4,8.8,37,4,48.3,101.49,Mainly Clear
9/2/2012,13:00,25.5,7.0,31,9,48.3,101.47,Mainly Clear
9/2/2012,14:00,25.3,7.4,32,9,48.3,101.45,Mainly Clear
9/2/2012,15:00,25.6,6.5,29,7,48.3,101.41,Mainly Clear
