Date,Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
9/1/2012,18:00,22.7,8.4,40,9,48.3,101.41,Clear
3/22/2012,9:00,17.3,10.4,64,22,24.1,101.53,Mainly Clear
10/29/2012,13:00,16.5,9.7,64,33,24.1,100.24,Cloudy
12/28/2012,20:00,-9.8,-12.6,80,20,25.0,101.35,Mainly Clear
3/26/2012,6:00,-3.8,-13.4,47,32,24.1,101.03,Clear
8/8/2012,13:00,27.4,14.1,44,4,48.3,101.0,Mainly Clear
5/10/2012,13:00,10.4,6.0,74,26,24.1,99.46,Cloudy
10/25/2012,19:00,11.4,5.5,67,15,25.0,101.53,Clear
10/8/2012,10:00,8.6,-1.7,48,7,48.3,101.97,Mainly Clear
8/10/2012,8:00,20.8,18.9,89,9,12.9,100.69,Cloudy
10/6/2012,14:00,13.8,8.9,72,17,24.1,100.28,Mostly Cloudy
4/1/2012,19:00,2.6,0.2,84,0,25.0,100.14,Rain
7/5/2012,9:00,21.1,15.3,69,6,48.3,100.74,Mostly Cloudy
3/9/2012,6:00,-4.3,-9.0,70,15,25.0,101.26,Mainly Clear
9/25/2012,20:00,15.7,10.6,72,7,25.0,101.03,Mainly Clear
3/12/2012,14:00,12.3,1.4,47,6,48.3,101.79,Mostly Cloudy
8/2/2012,17:00,29.9,16.1,43,20,24.1,100.41,Mostly Cloudy
11/14/2012,4:00,-4.0,-7.0,80,4,25.0,103.01,Clear
5/3/2012,14:00,16.2,10.8,70,11,24.1,101.37,Cloudy
1/23/2012,17:00,3.1,-0.4,78,28,16.1,100.61,Rain
9/2/2012,8:00,17.3,11.7,70,7,48.3,101.51,Mostly Cloudy
2/20/2012,22:00,-3.3,-8.8,66,0,25.0,102.2,Clear
4/20/2012,10:00,6.6,1.6,70,24,24.1,101.07,Rain
3/19/2012,7:00,9.9,8.5,91,0,12.9,101.59,Mostly Cloudy
12/1/2012,15:00,-8.3,-13.5,66,17,24.1,102.84,Cloudy
8/28/2012,13:00,25.4,12.1,44,30,48.3,100.61,Mainly Clear
2/9/2012,16:00,2.7,-6.5,51,22,48.3,101.01,Clear
6/30/2012,22:00,23.3,15.3,61,7,25.0,100.04,Mostly Cloudy
8/2/2012,7:00,22.5,20.1,86,13,48.3,100.6,Mainly Clear
3/25/2012,14:00,7.5,4.1,79,11,24.1,100.39,Cloudy
8/5/2012,10:00,24.8,22.6,88,22,19.3,100.71,Cloudy
10/18/2012,17:00,16.6,4.7,45,15,48.3,100.74,Mostly Cloudy
8/4/2012,8:00,23.1,15.6,63,13,48.3,101.75,Mainly Clear
10/10/2012,1:00,10.3,7.8,84,11,25.0,101.18,Mostly Cloudy
6/28/2012,0:00,17.2,14.0,81,6,25.0,100.17,Cloudy
8/7/2012,9:00,22.8,16.7,68,19,48.3,100.99,Mainly Clear
4/18/2012,0:00,2.9,-5.1,56,13,25.0,102.2,Clear
10/25/2012,8:00,5.2,1.5,77,22,48.3,101.94,Mostly Cloudy
12/10/2012,3:00,-4.3,-5.9,89,33,2.8,100.96,"Snow,Ice Pellets"
4/21/2012,11:00,5.6,3.5,86,11,12.9,100.59,Rain
12/11/2012,23:00,-8.3,-11.2,80,9,25.0,101.84,Clear
10/15/2012,17:00,14.7,8.2,65,33,24.1,99.69,Mostly Cloudy
9/25/2012,9:00,16.3,8.6,60,32,48.3,100.93,Mainly Clear
10/1/2012,23:00,14.2,12.9,92,22,25.0,100.75,Mostly Cloudy
4/14/2012,0:00,7.9,-1.6,51,22,25.0,101.35,Clear
5/27/2012,22:00,17.5,9.1,58,0,25.0,101.33,Cloudy
3/26/2012,8:00,-4.0,-12.6,51,26,48.3,101.27,Mostly Cloudy
3/3/2012,15:00,5.3,-5.6,45,57,24.1,98.67,Mostly Cloudy
11/17/2012,7:00,-3.2,-8.2,68,13,24.1,103.39,Mainly Clear
7/25/2012,7:00,17.5,12.2,71,13,24.1,100.81,Clear
10/18/2012,2:00,10.9,4.9,66,4,25.0,100.92,Mostly Cloudy
3/31/2012,1:00,1.3,-9.6,44,13,25.0,101.31,Mostly Cloudy
12/22/2012,13:00,-4.7,-6.9,85,37,4.0,98.96,Snow
9/24/2012,2:00,6.9,5.1,88,0,25.0,101.37,Clear
5/3/2012,3:00,11.2,8.5,83,15,25.0,101.21,Cloudy
1/14/2012,21:00,-20.0,-25.9,59,11,25.0,101.65,Mostly Cloudy
9/4/2012,14:00,24.7,18.0,66,15,24.1,100.83,Cloudy
4/30/2012,0:00,3.3,-10.3,36,9,25.0,102.06,Clear
4/6/2012,21:00,6.7,-10.3,28,9,25.0,101.24,Cloudy
1/3/2012,10:00,-15.3,-22.2,56,24,24.1,101.29,Cloudy
1/4/2012,7:00,-18.2,-24.1,60,11,25.0,101.75,Cloudy
9/3/2012,14:00,28.0,10.4,33,0,48.3,101.41,Mainly Clear
12/15/2012,20:00,-8.7,-15.1,60,20,25.0,102.5,Clear
8/11/2012,18:00,19.6,18.7,95,19,24.1,100.59,Rain Showers
9/22/2012,18:00,16.1,15.6,97,13,25.0,100.33,Rain Showers
12/3/2012,21:00,3.1,1.2,87,6,25.0,101.99,Cloudy
6/18/2012,10:00,22.6,14.2,59,19,48.3,101.15,Mostly Cloudy
8/27/2012,17:00,22.4,20.5,89,13,24.1,100.84,Rain Showers
9/24/2012,5:00,8.0,7.8,99,0,25.0,101.44,Mostly Cloudy
4/28/2012,6:00,-2.1,-10.7,52,22,48.3,101.74,Mainly Clear
5/9/2012,23:00,11.9,8.3,79,4,25.0,99.65,Mainly Clear
5/4/2012,20:00,15.4,13.5,88,9,25.0,100.89,Mostly Cloudy
1/2/2012,10:00,1.5,-4.1,66,43,24.1,99.18,Mostly Cloudy
6/27/2012,7:00,16.3,12.2,77,20,24.1,99.81,Rain
6/19/2012,13:00,25.8,17.9,62,15,24.1,100.99,Cloudy
5/24/2012,19:00,24.4,16.4,61,15,24.1,101.25,Mainly Clear
1/24/2012,21:00,1.1,-3.0,74,20,25.0,101.11,Mostly Cloudy
8/26/2012,5:00,21.2,16.9,76,6,24.1,102.02,Clear
12/2/2012,10:00,5.7,3.0,83,28,19.3,101.27,Cloudy
9/16/2012,3:00,6.7,5.6,93,7,25.0,101.44,Clear
11/25/2012,10:00,-3.0,-9.5,61,32,48.3,100.33,Mostly Cloudy
10/22/2012,2:00,7.6,3.9,77,24,25.0,100.81,Mainly Clear
8/31/2012,4:00,22.8,13.0,54,28,25.0,100.47,Mostly Cloudy
8/23/2012,14:00,25.0,15.4,55,13,24.1,101.37,Rain Showers
3/16/2012,19:00,3.8,3.2,96,0,3.2,101.77,"Drizzle,Fog"
7/5/2012,2:00,16.6,14.6,88,11,25.0,100.43,Mainly Clear
4/15/2012,9:00,14.1,8.9,71,26,24.1,100.79,Cloudy
8/17/2012,10:00,21.8,17.0,74,13,24.1,100.13,Cloudy
3/15/2012,13:00,3.4,0.0,78,22,24.1,102.12,Cloudy
10/3/2012,14:00,18.7,13.6,72,13,19.3,101.4,Cloudy
12/8/2012,10:00,3.2,2.1,92,11,8.0,100.95,"Rain,Fog"
12/26/2012,11:00,-11.3,-14.5,77,20,48.3,102.5,Mainly Clear
6/27/2012,19:00,19.4,13.8,70,17,24.1,100.09,Rain
3/1/2012,23:00,-4.3,-7.1,81,22,4.8,101.04,Snow
2/6/2012,13:00,2.6,-2.9,67,32,24.1,100.47,Cloudy
9/26/2012,8:00,14.9,11.0,77,19,24.1,100.89,Cloudy
1/5/2012,0:00,-8.8,-11.7,79,4,9.7,100.32,Snow
4/1/2012,17:00,2.8,0.5,85,22,24.1,100.12,Rain
3/24/2012,22:00,6.6,-7.8,35,11,25.0,101.22,Cloudy
2/25/2012,15:00,-3.3,-7.5,73,33,19.3,99.22,Snow
11/27/2012,18:00,-2.8,-7.0,73,4,25.0,102.15,Clear
5/4/2012,4:00,13.1,11.2,88,6,8.0,100.7,"Drizzle,Fog"
3/16/2012,2:00,1.1,0.2,94,17,12.9,101.56,Rain
4/7/2012,3:00,2.4,-10.0,39,11,25.0,101.32,Mainly Clear
7/30/2012,12:00,27.2,15.8,50,19,48.3,101.22,Mainly Clear
5/26/2012,6:00,17.1,10.0,63,9,48.3,101.37,Clear
11/28/2012,8:00,-3.1,-5.0,87,4,24.1,101.85,Cloudy
3/30/2012,9:00,-2.0,-10.1,54,13,48.3,101.63,Clear
9/12/2012,17:00,26.8,11.6,39,17,48.3,101.77,Mainly Clear
3/21/2012,14:00,24.7,12.1,45,13,24.1,101.77,Clear
8/22/2012,11:00,23.2,13.9,56,24,48.3,101.46,Mainly Clear
8/27/2012,7:00,23.1,16.9,68,13,24.1,101.36,Mostly Cloudy
1/22/2012,11:00,-13.0,-15.5,81,6,8.0,103.04,Fog
9/23/2012,20:00,11.4,4.7,63,9,25.0,101.31,Mainly Clear
6/5/2012,1:00,13.7,7.1,64,15,25.0,100.82,Cloudy
2/18/2012,4:00,-0.3,-4.9,71,22,25.0,100.74,Mostly Cloudy
3/19/2012,10:00,15.6,11.0,74,6,16.1,101.75,Mainly Clear
6/11/2012,10:00,24.8,16.3,59,4,24.1,101.58,Mostly Cloudy
9/17/2012,18:00,22.1,14.8,63,15,24.1,100.88,Mainly Clear
9/21/2012,14:00,19.2,13.9,71,17,48.3,100.95,Cloudy
1/21/2012,23:00,-17.4,-21.7,69,0,25.0,102.54,Mainly Clear
5/8/2012,4:00,14.2,10.4,78,17,25.0,100.6,Rain
2/21/2012,7:00,-6.2,-9.1,80,7,48.3,102.03,Mainly Clear
11/30/2012,15:00,-8.8,-15.8,57,11,48.3,103.14,Cloudy
2/25/2012,7:00,-1.4,-2.9,89,33,1.2,98.11,"Snow,Blowing Snow"
9/22/2012,1:00,15.9,15.4,97,7,11.3,100.85,Cloudy
10/7/2012,7:00,6.0,3.7,85,13,24.1,101.31,Mostly Cloudy
6/17/2012,9:00,23.4,15.3,60,9,48.3,101.47,Mainly Clear
12/21/2012,0:00,1.9,-2.1,75,26,25.0,100.6,"Rain,Snow Grains"
1/13/2012,20:00,-3.2,-5.1,87,32,2.0,98.89,Snow
11/2/2012,12:00,4.3,2.9,91,15,24.1,99.68,Drizzle
7/26/2012,5:00,20.0,14.8,72,7,24.1,99.98,Cloudy
10/29/2012,10:00,12.9,8.7,76,28,24.1,100.57,Cloudy
12/15/2012,9:00,-10.4,-15.9,64,19,48.3,102.74,Clear
10/18/2012,10:00,16.1,6.7,54,15,48.3,100.97,Mainly Clear
4/12/2012,17:00,11.4,-1.5,41,11,48.3,101.32,Mainly Clear
1/12/2012,22:00,-4.1,-6.8,81,26,25.0,99.47,Snow
9/20/2012,23:00,14.0,8.9,71,19,25.0,101.24,Mainly Clear
12/2/2012,22:00,7.1,6.9,99,15,8.0,100.71,"Drizzle,Fog"
4/29/2012,21:00,5.4,-11.0,29,19,25.0,102.01,Mainly Clear
6/24/2012,1:00,17.6,8.7,56,6,25.0,101.02,Clear
5/22/2012,4:00,18.6,16.2,86,7,12.9,100.89,Rain Showers
12/27/2012,6:00,-6.8,-8.1,90,39,1.2,100.83,Snow
5/24/2012,23:00,21.1,15.2,69,19,25.0,101.39,Clear
8/14/2012,15:00,25.7,18.4,64,15,24.1,100.71,Mostly Cloudy
7/9/2012,13:00,23.1,7.9,38,19,48.3,101.04,Mainly Clear
12/22/2012,10:00,-3.6,-5.0,90,37,1.6,98.7,Snow
6/6/2012,18:00,20.0,7.6,45,15,24.1,100.95,Mostly Cloudy
12/14/2012,10:00,2.8,-2.4,69,22,24.1,101.34,Cloudy
10/9/2012,6:00,5.4,3.7,89,7,48.3,102.09,Mainly Clear
11/18/2012,0:00,-1.6,-6.2,71,0,25.0,103.58,Clear
12/4/2012,7:00,5.1,3.4,89,13,25.0,101.35,Cloudy
4/8/2012,14:00,12.1,-3.5,33,20,48.3,99.97,Mostly Cloudy
12/15/2012,16:00,-8.5,-14.8,60,20,48.3,102.54,Mainly Clear
7/22/2012,10:00,25.7,18.5,64,22,48.3,101.2,Mainly Clear
8/20/2012,23:00,16.6,10.8,69,6,25.0,100.8,Mainly Clear
12/9/2012,12:00,-1.9,-5.1,79,17,12.9,102.32,Snow Showers
7/25/2012,0:00,16.6,12.4,76,11,25.0,100.55,Clear
10/21/2012,9:00,10.4,6.0,74,26,24.1,100.27,Mostly Cloudy
3/13/2012,12:00,3.9,2.2,89,9,4.8,100.64,Fog
